本地网,本地网编码,基站ID,小区ID,小区名称,小区覆盖类别,频段标识,厂家,经度,纬度,PRB上行利用率（%）,PRB下行利用率（%）,RRC连接用户数（个）,小区流量（GB)-上行,小区流量（GB)-下行,计费用户数
石家庄,81301,553044,147,藁城马房800M(CL)H-0(工程),室外覆盖,800M,中兴,114.7273,37.9656,10.39,9.05,9,0.01,0.05,27
石家庄,81301,553561,149,晋州移动束李庄800M(CL)H-0(工程),室外覆盖,800M,中兴,115.125,37.97041,6,9.58,4,0.01,0.12,9
石家庄,81301,553683,149,新乐东曹村基站北800M(CL)H-0(工程),室外覆盖,800M,中兴,114.8776,38.3811,2.85,6.93,2,0,0.05,2
石家庄,81301,555394,150,平山黄土台H-0-L800,室外覆盖,800M,华为,113.7992,38.72604,10.24,3.12,1,0,0,1
石家庄,81301,555434,150,灵寿东能宾馆H-0-L800,室外覆盖,800M,华为,114.3887,38.32225,9.84,3.12,2,0,0,4
石家庄,81301,65747,16,市区联通南杨庄800MH-0(工程),室外覆盖,800M,中兴,114.6544,38.061,2.42,5.36,1,0,0,0
石家庄,81301,65797,16,鹿泉杨庄村东800MH-0(工程),室外覆盖,800M,中兴,114.3163,38.09584,3.95,6.4,3,0.11,0.15,7
石家庄,81301,70739,16,市区联通东京北800MH-0(工程),室外覆盖,800M,中兴,114.5896,37.9806,9.95,12.33,12,0.02,0.16,40
石家庄,81301,73108,4,市区高远时光城（光分布）RRU1S-0(工程),室分覆盖,2.1G,中兴,114.4944,37.98512,29.1,44.6,65,0.38,4.93,288
石家庄,81301,65588,48,市区西南二环外H-0,室外覆盖,1.8G,中兴,114.4335,38.00397,2.76,15.38,15,0.03,0.62,43
石家庄,81301,65693,48,正定牛家庄H-0,室外覆盖,1.8G,中兴,114.585,38.1909,8.45,20.09,133,0.05,0.66,42
石家庄,81301,65840,48,元氏孟村H-0,室外覆盖,1.8G,中兴,114.5927,37.79887,10.34,12.07,23,0.05,0.78,81
石家庄,81301,66108,48,栾城传媒学院QcellPB70FDD1800-1S-0,室分覆盖,1.8G,中兴,114.5179,38.06021,0.8,1.91,0,0,0,0
